Goal,Legs,Chest,Arms,Back,Full Body,Lifts,Reps
1,1,0,1,0,0,Leg Press;Bicep Curl;Running;Pull-Ups;Chest Press,5
0,1,1,1,1,0,Lunges;Pec Deck;Hammer Curl;Lat Pulldown;Running,10
1,1,0,1,0,1,Leg Curls;Bicep Curl;Burpees;Row;Bench Press,5
1,0,0,1,1,1,Bicep Curl;Lat Pulldown;Deadlift;Leg Press;Push-Ups,5
1,0,0,1,0,1,Dumbbell Curl;Running;Pec Deck;Row;Leg Curls,6
1,1,1,1,0,1,Leg Press;Push-Ups;Bicep Curl;Clean and Press;Row,6
1,1,0,1,0,0,Squat;Bicep Curl;Pull-Ups;Push-Ups;Burpees,5
0,0,0,0,1,1,Cable Row;Deadlift;Leg Curls;Tricep Extension;Bench Press,10
0,0,0,1,0,1,Tricep Extension;Deadlift;Chest Press;Cable Row;Leg Curls,13
0,1,1,0,0,1,Calf Raise;Pec Deck;Clean and Press;Dumbbell Curl;Lat Pulldown,10
1,0,1,1,0,0,Incline Press;Bicep Curl;Pull-Ups;Leg Curls;Running,6
1,0,0,0,1,0,Cable Row;Squat;Push-Ups;Dumbbell Curl;Deadlift,6
1,0,1,1,1,0,Chest Press;Tricep Extension;Cable Row;Deadlift;Leg Press,5
0,0,1,1,1,1,Incline Press;Dumbbell Curl;Lat Pulldown;Running;Squat,9
1,0,1,0,1,1,Incline Press;Cable Row;Running;Squat;Dumbbell Curl,4
0,1,0,0,1,1,Lunges;Lat Pulldown;Clean and Press;Hammer Curl;Chest Press,9
0,0,0,1,1,0,Tricep Extension;Pull-Ups;Burpees;Calf Raise;Pec Deck,9
1,1,1,0,1,0,Lunges;Pec Deck;Row;Bicep Curl;Burpees,6
1,0,1,0,0,1,Incline Press;Burpees;Hammer Curl;Row;Leg Curls,4
0,1,0,1,0,1,Calf Raise;Tricep Extension;Deadlift;Chest Press;Lat Pulldown,9
1,0,0,0,0,1,Burpees;Row;Hammer Curl;Chest Press;Leg Press,6
0,1,1,0,1,0,Squat;Push-Ups;Pull-Ups;Burpees;Hammer Curl,8
0,1,1,0,1,0,Squat;Incline Press;Cable Row;Dumbbell Curl;Burpees,10
1,1,1,1,1,1,Squat;Chest Press;Hammer Curl;Cable Row;Deadlift,4
0,1,0,1,0,0,Squat;Hammer Curl;Chest Press;Pull-Ups;Burpees,9
1,1,0,1,0,0,Squat;Bicep Curl;Chest Press;Deadlift;Row,5
0,0,0,1,1,0,Bicep Curl;Cable Row;Clean and Press;Lunges;Chest Press,9
0,1,1,1,1,0,Lunges;Bench Press;Tricep Extension;Pull-Ups;Running,9
0,1,1,1,0,0,Lunges;Pec Deck;Tricep Extension;Cable Row;Running,10
0,0,1,0,0,0,Incline Press;Dumbbell Curl;Row;Clean and Press;Calf Raise,14
1,1,0,0,1,0,Leg Curls;Pull-Ups;Running;Hammer Curl;Chest Press,5
0,1,0,1,1,0,Squat;Hammer Curl;Row;Push-Ups;Clean and Press,10
1,1,1,1,1,1,Squat;Push-Ups;Bicep Curl;Pull-Ups;Deadlift,4
0,0,1,1,0,0,Incline Press;Tricep Extension;Burpees;Calf Raise;Lat Pulldown,9
0,0,1,0,0,1,Chest Press;Burpees;Leg Press;Tricep Extension;Lat Pulldown,14
1,1,0,1,0,0,Calf Raise;Bicep Curl;Chest Press;Cable Row;Clean and Press,4
1,0,0,1,0,0,Dumbbell Curl;Leg Curls;Deadlift;Row;Pec Deck,6
1,0,0,0,0,1,Clean and Press;Pec Deck;Calf Raise;Hammer Curl;Pull-Ups,6
0,1,0,1,0,1,Leg Press;Bicep Curl;Deadlift;Pull-Ups;Push-Ups,11
1,0,1,0,1,1,Pec Deck;Lat Pulldown;Clean and Press;Hammer Curl;Squat,4
0,0,0,1,0,0,Dumbbell Curl;Clean and Press;Lat Pulldown;Incline Press;Lunges,11
1,0,0,0,0,1,Clean and Press;Row;Chest Press;Lunges;Hammer Curl,4
1,1,1,1,0,1,Leg Curls;Incline Press;Hammer Curl;Burpees;Pull-Ups,6
0,1,1,0,1,1,Leg Press;Chest Press;Cable Row;Deadlift;Hammer Curl,12
0,1,0,0,0,1,Lunges;Clean and Press;Row;Push-Ups;Tricep Extension,13
1,1,1,0,0,1,Leg Curls;Incline Press;Burpees;Bicep Curl;Pull-Ups,5
0,1,0,0,0,1,Leg Press;Burpees;Incline Press;Pull-Ups;Tricep Extension,14
0,1,0,0,0,0,Lunges;Incline Press;Tricep Extension;Burpees;Row,14
0,0,1,0,1,1,Chest Press;Cable Row;Deadlift;Calf Raise;Dumbbell Curl,14
1,1,1,0,1,1,Squat;Pec Deck;Row;Clean and Press;Bicep Curl,6
1,1,1,0,0,1,Squat;Incline Press;Running;Hammer Curl;Cable Row,4
0,1,1,0,0,0,Squat;Push-Ups;Hammer Curl;Burpees;Cable Row,10
1,0,0,1,0,1,Tricep Extension;Burpees;Leg Press;Pull-Ups;Chest Press,5
0,0,1,1,1,1,Push-Ups;Dumbbell Curl;Cable Row;Burpees;Leg Curls,13
1,1,0,1,0,1,Calf Raise;Hammer Curl;Deadlift;Pec Deck;Lat Pulldown,4
0,1,1,1,1,0,Leg Curls;Chest Press;Bicep Curl;Pull-Ups;Deadlift,14
1,1,1,1,0,0,Leg Curls;Bench Press;Dumbbell Curl;Clean and Press;Cable Row,5
1,0,1,1,1,1,Incline Press;Tricep Extension;Cable Row;Running;Leg Curls,4
